Répartition par sexe et vie,Ensemble des nés vivants,Nés vivants - Garçons,Nés vivants - Filles,Ensemble des enfants sans vie,Enfants sans vie - Garçons,Enfants sans vie - Filles,"Garçons vivants pour 100 nés
vivants","Garçons vivants pour 100
filles vivantes","Garçons sans vie pour 100
filles sans vie"
1945,645899,331721,314178,14901,8567,6334,51.4,105.6,135.30000000000001
1946,843904,433825,410079,19940,11484,8456,51.4,105.8,135.80000000000001
1947,870472,447510,422962,19190,11028,8162,51.4,105.8,135.09999999999999
1948,870836,447898,422938,17321,9718,7603,51.4,105.9,127.8
1949,872661,447510,425151,16812,9522,7290,51.3,105.3,130.59999999999999
1950,862310,441795,420515,16866,9400,7466,51.2,105.1,125.90000000000001
1951,826722,423797,402925,16101,8858,7243,51.3,105.2,122.3
1952,822204,421546,400658,15065,8309,6756,51.3,105.2,123
1953,804696,412599,392097,14925,8349,6576,51.3,105.2,127
1954,810754,416078,394676,14434,8068,6366,51.3,105.4,126.7
1955,805917,412159,393758,14075,7689,6386,51.1,104.7,120.40000000000001
1956,806916,413546,393370,14140,7877,6263,51.3,105.1,125.8
1957,816467,417634,398833,14542,8035,6507,51.2,104.7,123.5
1958,812215,415221,396994,14088,7788,6300,51.1,104.6,123.59999999999999
1959,829249,424405,404844,13715,7613,6102,51.2,104.8,124.8
1960,819819,419775,400044,14155,7710,6445,51.2,104.9,119.59999999999999
1961,838633,428877,409756,13840,7624,6216,51.1,104.7,122.7
1962,832353,425919,406434,13622,7451,6171,51.2,104.8,120.7
1963,868876,443844,425032,14152,7735,6417,51.1,104.4,120.5
1964,877804,449511,428293,13849,7722,6127,51.2,105,126
1965,865688,443390,422298,13319,7267,6052,51.2,105,120.09999999999999
1966,863527,442128,421399,13127,7106,6021,51.2,104.9,118
1967,840568,430641,409927,12526,6857,5669,51.2,105.1,121
1968,835796,427623,408173,11957,6475,5482,51.2,104.8,118.09999999999999
1969,842245,431346,410899,11931,6364,5567,51.2,105,114.3
1970,850381,436599,413782,11469,6189,5280,51.3,105.5,117.2
1971,881284,451978,429306,11486,6130,5356,51.3,105.3,114.5
1972,877506,450667,426839,10952,5829,5123,51.4,105.6,113.8
1973,857186,440190,416996,10470,5556,4914,51.4,105.6,113.09999999999999
1974,801218,411439,389779,9358,4912,4446,51.4,105.6,110.5
1975,745065,381804,363261,8225,4406,3819,51.2,105.1,115.40000000000001
1976,720395,369439,350956,7522,3892,3630,51.3,105.3,107.2
1977,744744,382337,362407,7445,3890,3555,51.3,105.5,109.40000000000001
1978,737062,378281,358781,7120,3764,3356,51.3,105.4,112.2
1979,757354,388604,368750,6994,3647,3347,51.3,105.4,109
1980,800376,410547,389829,6942,3645,3297,51.3,105.3,110.59999999999999
1981,805483,413480,392003,6644,3399,3245,51.3,105.5,104.7
1982,797223,409205,388018,6334,3347,2987,51.3,105.5,112.09999999999999
1983,748525,383659,364866,5723,2974,2749,51.3,105.2,108.2
1984,759939,389310,370629,5835,3049,2786,51.2,105,109.40000000000001
1985,768431,394112,374319,5658,2945,2713,51.3,105.3,108.59999999999999
1986,778468,399199,379269,5615,2881,2734,51.3,105.3,105.40000000000001
1987,767828,393231,374597,5304,2732,2572,51.2,105,106.2
1988,771268,395439,375829,4808,2494,2314,51.3,105.2,107.8
1989,765473,391649,373824,4701,2454,2247,51.2,104.8,109.2
1990,762407,391312,371095,4488,2332,2156,51.3,105.4,108.2
1991,759056,389239,369817,4364,2272,2092,51.3,105.3,108.59999999999999
1992,743658,381744,361914,4055,2112,1943,51.3,105.5,108.7
1993,711610,364589,347021,3791,2037,1754,51.2,105.1,116.09999999999999
1994,710993,364277,346716,3633,1927,1706,51.2,105.1,113
1995,729609,373409,356200,3859,2059,1800,51.2,104.8,114.40000000000001
1996,734338,377003,357335,3689,1956,1733,51.3,105.5,112.90000000000001
1997,726768,373157,353611,3576,1874,1702,51.3,105.5,110.09999999999999
1998,738080,378075,360005,3685,1909,1776,51.2,105,107.5
1999,744791,382132,362659,3442,1799,1643,51.3,105.4,109.5
2000,774782,397352,377430,3559,nd,nd,51.3,105.3,nd
2001,770945,394297,376648,3741,nd,nd,51.1,104.7,nd
2002,761630,389981,371649,6259,nd,nd,51.2,104.9,nd
2003,761464,389349,372115,6862,3595,3267,51.1,104.6,110
2004,767816,393477,374339,7054,3706,3348,51.2,105.1,110.7
2005,774355,396346,378009,6964,3655,3309,51.2,104.9,110.5
2006,796896,407846,389050,7531,3981,3550,51.2,104.8,112.09999999999999
2007,785985,402297,383688,7246,3838,3408,51.2,104.9,112.59999999999999
2008,796044,406784,389260,8356,4510,3846,51.1,104.5,117.3
2009,793420,405902,387518,9377,5180,4197,51.2,104.7,123.40000000000001
2010,802224,410140,392084,8206,4500,3706,51.1,104.6,121.40000000000001
2011,792996,405206,387790,7649,4240,3409,51.1,104.5,124.40000000000001
2012,790290,404774,385516,8007,4378,3629,51.2,105,120.59999999999999
2013,781621,400149,381472,7961,4388,3573,51.2,104.9,122.8
2014,781167,399284,381883,8031,4440,3591,51.1,104.6,123.59999999999999
2015,760421,389181,371240,7882,4374,3508,51.2,104.8,124.7
2016,744697,381310,363387,7885,4259,3626,51.2,104.9,117.5
2017,730242,373716,356526,7499,4031,3468,51.2,104.8,116.2
2018,719737,369121,350616,7898,4450,3448,51.3,105.3,129.09999999999999
2019,714029,364924,349105,7640,4202,3438,51.1,104.5,122.2
2020,696664,356389,340275,8008,4526,3482,51.2,104.7,130
2021,701819,358833,342986,8462,4614,3848,51.1,104.6,119.90000000000001
2022,686564,351296,335268,8214,4488,3726,51.2,104.8,120.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N.B. :,NA,NA,NA,NA,NA,NA,NA,NA,NA
"- Les fortes évolutions du nombre d’enfants sans vie en 2002, puis en 2008 et 2009 sont liées à des changements législatifs (voir rubrique Documentation : https://www.insee.fr/fr/metadonnees/definition/c1394).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"En particulier, depuis août 2008, les anciens critères de durée d'aménorrhée et de poids ne sont plus pris en compte et les données françaises récentes sur les enfants sans vie ne peuvent pas être comparées à celles des autres pays.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Depuis cette date, les déclarations d'enfants sans vie à l'état civil reposent sur une démarche volontaire des parents.",NA,NA,NA,NA,NA,NA,NA,NA,NA
- La répartition des enfants sans vie par sexe n'est pas disponible de 2000 à 2002.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Source : Insee, statistiques de l'état civil",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
